"","ndvi","vector_month"
"1",0.0548,"2008-01"
"3",0.0598,"2008-02"
"5",0.1118,"2008-03"
"7",0.1373,"2008-04"
"9",0.131,"2008-05"
"11",0.1092,"2008-06"
"13",0.1034,"2008-07"
"15",0.1009,"2008-08"
"17",0.0979,"2008-09"
"19",0.096,"2008-10"
"21",0.0985,"2008-11"
"22",0.088,"2008-12"
"24",0.0689,"2009-01"
"26",0.0915,"2009-02"
"28",0.1526,"2009-03"
"30",0.2036,"2009-04"
"32",0.1885,"2009-05"
"34",0.1485,"2009-06"
"36",0.1337,"2009-07"
"38",0.1273,"2009-08"
"40",0.1246,"2009-09"
"42",0.1193,"2009-10"
"43",0.1183,"2009-11"
"45",0.0967,"2009-12"
"47",0.1144,"2010-01"
"49",0.0992,"2010-02"
"51",0.1581,"2010-03"
"53",0.1789,"2010-04"
"55",0.1651,"2010-05"
"57",0.1329,"2010-06"
"59",0.1206,"2010-07"
"61",0.1164,"2010-08"
"63",0.1119,"2010-09"
"65",0.1079,"2010-10"
"66",0.1096,"2010-11"
"68",0.1039,"2010-12"
"70",0.1014,"2011-01"
"72",0.088,"2011-02"
"74",0.1087,"2011-03"
"76",0.1552,"2011-04"
"78",0.152,"2011-05"
"80",0.1279,"2011-06"
"82",0.1165,"2011-07"
"84",0.112,"2011-08"
"86",0.111,"2011-09"
"88",0.1089,"2011-10"
"89",0.1091,"2011-11"
"91",0.1078,"2011-12"
"93",0.0985,"2012-01"
"95",0.0807,"2012-02"
"97",0.1044,"2012-03"
"99",0.1443,"2012-04"
"101",0.1587,"2012-05"
"103",0.1322,"2012-06"
"105",0.1196,"2012-07"
"107",0.112,"2012-08"
"109",0.1104,"2012-09"
"111",0.107,"2012-10"
"113",0.1119,"2012-11"
"114",0.1017,"2012-12"
"116",0.0842,"2013-01"
"118",0.0998,"2013-02"
"120",0.1373,"2013-03"
"122",0.186,"2013-04"
"124",0.1632,"2013-05"
"126",0.1301,"2013-06"
"128",0.1189,"2013-07"
"130",0.1168,"2013-08"
"132",0.1109,"2013-09"
"134",0.1076,"2013-10"
"135",0.1109,"2013-11"
"137",0.1108,"2013-12"
"139",0.0999,"2014-01"
"141",0.0676,"2014-02"
"143",0.1256,"2014-03"
"145",0.1589,"2014-04"
"147",0.1579,"2014-05"
"149",0.1256,"2014-06"
"151",0.1124,"2014-07"
"153",0.1078,"2014-08"
"155",0.1061,"2014-09"
"157",0.1043,"2014-10"
"158",0.103,"2014-11"
"160",0.1006,"2014-12"
"162",0.0969,"2015-01"
"164",0.1006,"2015-02"
"166",0.106,"2015-03"
"168",0.1719,"2015-04"
"170",0.1627,"2015-05"
"172",0.1322,"2015-06"
"174",0.1195,"2015-07"
"176",0.1153,"2015-08"
"178",0.1114,"2015-09"
"180",0.111,"2015-10"
"181",0.1165,"2015-11"
"183",0.1065,"2015-12"
"185",0.1107,"2016-01"
"187",0.1134,"2016-02"
"189",0.1377,"2016-03"
"191",0.1715,"2016-04"
"193",0.1514,"2016-05"
"195",0.1245,"2016-06"
"197",0.1123,"2016-07"
"199",0.1085,"2016-08"
"201",0.1072,"2016-09"
"203",0.1032,"2016-10"
"205",0.1055,"2016-11"
"206",0.1028,"2016-12"
"208",0.1022,"2017-01"
"210",0.0692,"2017-02"
"212",0.1135,"2017-03"
"214",0.1605,"2017-04"
"216",0.1643,"2017-05"
"218",0.135,"2017-06"
"220",0.1218,"2017-07"
"222",0.1157,"2017-08"
"224",0.1155,"2017-09"
"226",0.1105,"2017-10"
"227",0.1106,"2017-11"
"229",0.1077,"2017-12"
"231",0.1043,"2018-01"
"233",0.1017,"2018-02"
"235",0.1276,"2018-03"
"237",0.1443,"2018-04"
"239",0.1372,"2018-05"
"241",0.1163,"2018-06"
"243",0.1057,"2018-07"
"245",0.1032,"2018-08"
"247",0.1014,"2018-09"
"249",0.0993,"2018-10"
"250",0.1016,"2018-11"
"252",0.1025,"2018-12"
"254",0.099,"2019-01"
