"","rh","vector_month"
"1",0.547868919957642,2008-01-01
"2",0.434358495564767,2008-02-01
"3",0.18685468639554,2008-03-01
"4",0.210442373763523,2008-04-01
"5",0.165158069571454,2008-05-01
"6",0.163022647961041,2008-06-01
"7",0.163623035127063,2008-07-01
"8",0.136927720050971,2008-08-01
"9",0.1515587496438,2008-09-01
"10",0.212684114354447,2008-10-01
"11",0.284615099287033,2008-11-01
"12",0.54539029443756,2008-12-01
"13",0.522731034743003,2009-01-01
"14",0.435271355038036,2009-02-01
"15",0.34740768552207,2009-03-01
"16",0.477135578904546,2009-04-01
"17",0.285553202564876,2009-05-01
"18",0.187550092140515,2009-06-01
"19",0.140691561408048,2009-07-01
"20",0.168409746305062,2009-08-01
"21",0.161475325930442,2009-09-01
"22",0.194655686535275,2009-10-01
"23",0.269151526496657,2009-11-01
"24",0.55037932182959,2009-12-01
"25",0.406100246934573,2010-01-01
"26",0.512546047514781,2010-02-01
"27",0.403550325951133,2010-03-01
"28",0.28883972931997,2010-04-01
"29",0.223277560013082,2010-05-01
"30",0.153585601487923,2010-06-01
"31",0.132974098329246,2010-07-01
"32",0.137994335284968,2010-08-01
"33",0.145032033853736,2010-09-01
"34",0.178344055839515,2010-10-01
"35",0.210281164880827,2010-11-01
"36",0.187548273063692,2010-12-01
"37",0.349797110357795,2011-01-01
"38",0.582315721574815,2011-02-01
"39",0.463314868830139,2011-03-01
"40",0.241025209818587,2011-04-01
"41",0.197120627769906,2011-05-01
"42",0.14901761490265,2011-06-01
"43",0.124213292947647,2011-07-01
"44",0.133272946615018,2011-08-01
"45",0.155693640266725,2011-09-01
"46",0.206083873200145,2011-10-01
"47",0.506717802717741,2011-11-01
"48",0.354238799530186,2011-12-01
"49",0.419088650388152,2012-01-01
"50",0.464646828976528,2012-02-01
"51",0.298798707975473,2012-03-01
"52",0.302267342434009,2012-04-01
"53",0.22338958581836,2012-05-01
"54",0.173835646693004,2012-06-01
"55",0.142699825200988,2012-07-01
"56",0.134723688938182,2012-08-01
"57",0.144866346411102,2012-09-01
"58",0.186635525102631,2012-10-01
"59",0.346485709111311,2012-11-01
"60",0.397488348015621,2012-12-01
"61",0.366457936888919,2013-01-01
"62",0.456863592155139,2013-02-01
"63",0.338204164801173,2013-03-01
"64",0.282904215284553,2013-04-01
"65",0.175100559195523,2013-05-01
"66",0.140574049890841,2013-06-01
"67",0.136474576366519,2013-07-01
"68",0.165258672160156,2013-08-01
"69",0.110296987559087,2013-09-01
"70",0.190620263679709,2013-10-01
"71",0.409664354579921,2013-11-01
"72",0.395496476429043,2013-12-01
"73",0.368444375827416,2014-01-01
"74",0.407991104687805,2014-02-01
"75",0.3482249149928,2014-03-01
"76",0.311621277154559,2014-04-01
"77",0.203976339698065,2014-05-01
"78",0.129606734041446,2014-06-01
"79",0.115044504742863,2014-07-01
"80",0.103957189782442,2014-08-01
"81",0.114803289927739,2014-09-01
"82",0.212099941959841,2014-10-01
"83",0.411022309435633,2014-11-01
"84",0.327379556638461,2014-12-01
"85",0.416372836119831,2015-01-01
"86",0.47647894967784,2015-02-01
"87",0.515590122214872,2015-03-01
"88",0.250365440383879,2015-04-01
"89",0.187780364048174,2015-05-01
"90",0.115626071904539,2015-06-01
"91",0.140633843222157,2015-07-01
"92",0.123376273874495,2015-08-01
"93",0.160803872155894,2015-09-01
"94",0.202468135776896,2015-10-01
"95",0.444544143576307,2015-11-01
"96",0.403325604864035,2015-12-01
"97",0.356616558309515,2016-01-01
"98",0.248228555758481,2016-02-01
"99",0.424321193982037,2016-03-01
"100",0.33336111274893,2016-04-01
"101",0.196518316365793,2016-05-01
"102",0.172696448617687,2016-06-01
"103",0.15678279832711,2016-07-01
"104",0.1402258640497,2016-08-01
"105",0.139450222331084,2016-09-01
"106",0.181528659448225,2016-10-01
"107",0.270499305435235,2016-11-01
"108",0.282108145157529,2016-12-01
"109",0.403999083324889,2017-01-01
"110",0.500037339804744,2017-02-01
"111",0.40026888329599,2017-03-01
"112",0.272953179858978,2017-04-01
"113",0.195564859372307,2017-05-01
"114",0.155853654848556,2017-06-01
"115",0.14188954226683,2017-07-01
"116",0.12499212760368,2017-08-01
"117",0.136515469857341,2017-09-01
"118",0.148785118573618,2017-10-01
"119",0.233341855060886,2017-11-01
"120",0.225960226149654,2017-12-01
"121",0.229601717676757,2018-01-01
"122",0.270733701392091,2018-02-01
"123",0.270752042078159,2018-03-01
"124",0.278486198090965,2018-04-01
"125",0.207660865156915,2018-05-01
"126",0.125328840049683,2018-06-01
"127",0.10188003179181,2018-07-01
"128",0.132781050915584,2018-08-01
"129",0.122767709014907,2018-09-01
"130",0.221990950845885,2018-10-01
"131",0.361712231605389,2018-11-01
"132",0.309004965932099,2018-12-01
"133",0.322896884157249,2019-01-01
"134",0.481904270337571,2019-02-01
"135",0.446569056238179,2019-03-01
"136",0.427595116197073,2019-04-01
"137",0.218952002363622,2019-05-01
"138",0.159264415548462,2019-06-01
"139",0.1289621921658,2019-07-01
"140",0.135894886845526,2019-08-01
"141",0.138925647016357,2019-09-01
"142",0.219346568297544,2019-10-01
"143",0.402413797619531,2019-11-01
"144",0.381504979089114,2019-12-01
"145",0.583484211357284,2020-01-01
"146",0.365214846618698,2020-02-01
"147",0.396399521745704,2020-03-01
"148",0.430570378556229,2020-04-01
"149",0.215993022151694,2020-05-01
"150",0.131821504556404,2020-06-01
"151",0.151761116961718,2020-07-01
"152",0.154122492871349,2020-08-01
"153",0.141672634126082,2020-09-01
"154",0.174707634524062,2020-10-01
"155",0.2963084621761,2020-11-01
"156",0.510496282044386,2020-12-01
