id,cases,date
1,0,2004-01-15
2,0,2004-02-15
3,2,2004-03-15
4,9,2004-04-15
5,24,2004-05-15
6,62,2004-06-15
7,101,2004-07-15
8,44,2004-08-15
9,6,2004-09-15
10,1,2004-10-15
11,0,2004-11-15
12,0,2004-12-15
13,0,2005-01-15
14,0,2005-02-15
15,0,2005-03-15
16,8,2005-04-15
17,27,2005-05-15
18,77,2005-06-15
19,95,2005-07-15
20,51,2005-08-15
21,3,2005-09-15
22,4,2005-10-15
23,0,2005-11-15
24,0,2005-12-15
25,0,2006-01-15
26,0,2006-02-15
27,1,2006-03-15
28,19,2006-04-15
29,65,2006-05-15
30,160,2006-06-15
31,114,2006-07-15
32,72,2006-08-15
33,8,2006-09-15
34,0,2006-10-15
35,0,2006-11-15
36,0,2006-12-15
37,0,2007-01-15
38,0,2007-02-15
39,2,2007-03-15
40,25,2007-04-15
41,119,2007-05-15
42,216,2007-06-15
43,224,2007-07-15
44,90,2007-08-15
45,40,2007-09-15
46,1,2007-10-15
47,0,2007-11-15
48,0,2007-12-15
49,0,2008-01-15
50,0,2008-02-15
51,1,2008-03-15
52,37,2008-04-15
53,241,2008-05-15
54,432,2008-06-15
55,411,2008-07-15
56,151,2008-08-15
57,40,2008-09-15
58,2,2008-10-15
59,0,2008-11-15
60,0,2008-12-15
61,0,2009-01-15
62,0,2009-02-15
63,0,2009-03-15
64,37,2009-04-15
65,205,2009-05-15
66,496,2009-06-15
67,366,2009-07-15
68,177,2009-08-15
69,33,2009-09-15
70,3,2009-10-15
71,1,2009-11-15
72,0,2009-12-15
73,0,2010-01-15
74,0,2010-02-15
75,0,2010-03-15
76,61,2010-04-15
77,240,2010-05-15
78,272,2010-06-15
79,222,2010-07-15
80,59,2010-08-15
81,11,2010-09-15
82,2,2010-10-15
83,0,2010-11-15
84,0,2010-12-15
85,0,2011-01-15
86,0,2011-02-15
87,1,2011-03-15
88,29,2011-04-15
89,149,2011-05-15
90,341,2011-06-15
91,349,2011-07-15
92,180,2011-08-15
93,19,2011-09-15
94,5,2011-10-15
95,2,2011-11-15
96,0,2011-12-15
97,0,2012-01-15
98,0,2012-02-15
99,1,2012-03-15
100,31,2012-04-15
101,223,2012-05-15
102,233,2012-06-15
103,201,2012-07-15
104,90,2012-08-15
105,13,2012-09-15
106,3,2012-10-15
107,1,2012-11-15
108,0,2012-12-15
109,0,2013-01-15
110,0,2013-02-15
111,1,2013-03-15
112,74,2013-04-15
113,225,2013-05-15
114,260,2013-06-15
115,254,2013-07-15
116,81,2013-08-15
117,11,2013-09-15
118,2,2013-10-15
119,2,2013-11-15
120,0,2013-12-15
121,0,2014-01-15
122,4,2014-02-15
123,6,2014-03-15
124,95,2014-04-15
125,218,2014-05-15
126,238,2014-06-15
127,280,2014-07-15
128,108,2014-08-15
129,13,2014-09-15
130,5,2014-10-15
131,0,2014-11-15
132,0,2014-12-15
133,0,2015-01-15
134,0,2015-02-15
135,2,2015-03-15
136,16,2015-04-15
137,97,2015-05-15
138,231,2015-06-15
139,218,2015-07-15
140,119,2015-08-15
141,20,2015-09-15
142,12,2015-10-15
143,2,2015-11-15
144,1,2015-12-15
145,0,2016-01-15
146,0,2016-02-15
147,4,2016-03-15
148,31,2016-04-15
149,99,2016-05-15
150,95,2016-06-15
151,115,2016-07-15
152,69,2016-08-15
153,17,2016-09-15
154,2,2016-10-15
155,0,2016-11-15
156,0,2016-12-15
157,0,2017-01-15
158,0,2017-02-15
159,1,2017-03-15
160,19,2017-04-15
161,57,2017-05-15
162,94,2017-06-15
163,125,2017-07-15
164,32,2017-08-15
165,13,2017-09-15
166,1,2017-10-15
167,0,2017-11-15
168,1,2017-12-15
